node_1,node_2,area,d,conductance
396,157,6793.5701385633465,625.0,10.869712221701354
396,479,10192.775023095945,625.0,16.30844003695351
396,446,2961.4595150256405,601.7580810047646,4.921345651197316
396,368,914.3807887573377,623.6045449566125,1.4662830733874077
396,526,2810.7544145180445,627.3869053974393,4.4800973535421145
495,398,21115.43608917284,625.0,33.78469774267654
495,397,21115.43608917284,625.0,33.78469774267654
696,563,42235.63809942643,625.0,67.57702095908229
696,725,652.2103478149564,1257.9800042202962,0.5184584378343918
696,710,42461.18355791983,1250.0,33.96894684633587
142,88,1264.2701226629968,811.4130754996875,1.5581091318801206
142,15,1826.793968764978,767.5934733580409,2.379897735155543
142,117,1230.3085677814308,133.07291515369897,9.245371729930367
142,173,4708.045832949476,190.82429587550212,24.672150950951792
142,0,3296.66726531053,105.51524908813128,31.243514978171536
142,170,1066.1566717521612,301.4034321890896,3.537307667695347
479,526,1554.0531299129661,699.3319377058547,2.2221967082055603
479,398,15307.76613117938,625.0,24.492425809887006
479,489,1481.0564186408762,680.5172458010752,2.1763686780596445
479,502,925.98194824051,792.8285653872048,1.1679472570318845
479,410,2585.616697468313,681.9376895241397,3.791573243697048
479,549,197.46051560396805,771.8621696817536,0.2558235438399358
398,397,605.1915603673134,883.8834764831844,0.6846960900041522
398,502,529.9336860739502,704.4918924969495,0.7522211280468992
398,420,5357.7462670714995,637.3328581314871,8.406511917146679
559,710,40007.17618039871,625.0,64.01148188863793
559,206,39238.37175795871,625.0,62.781394812733936
559,553,3863.100550646743,605.005828370031,6.3852286531759
559,715,2762.2664037070545,657.598819856107,4.200534308001773
710,725,1742.3278080074165,966.6169696514212,1.802500745083888
710,604,2302.4151503560597,738.8984650882718,3.116010195096296
710,646,2195.322445998629,704.5299304390702,3.116010195096299
710,553,1101.348539543112,736.9808000292188,1.4944060136973003
710,661,2592.037785545835,831.8450914008423,3.116010195096296
158,90,23964.668284598396,625.0,38.343469255357434
158,88,23964.668284598396,625.0,38.343469255357434
215,269,5090.541940230657,1334.8620051496066,3.8135342234571485
215,260,3034.246565042273,1577.7610017415186,1.9231344682072242
215,293,44655.133051096505,625.0,71.44821288175442
215,184,47547.19794215481,2500.0,19.018879176861923
215,299,4236.562554683607,1110.9281591402553,3.813534223457143
215,218,4896.923895991436,919.9153137939307,5.323233370032137
157,89,7982.910125783796,625.0,12.772656201254073
157,446,1291.0949028016566,681.3234459547549,1.8949808794447318
157,531,903.6206466422226,604.9071736837168,1.4938170449185182
157,155,3822.6409997051596,535.174336678492,7.142795791423807
157,17,612.6197544347733,673.3908588389128,0.9097535946524082
397,462,21125.04714772513,625.0,33.80007543636021
397,425,905.3051772132984,746.546873181021,1.212656846790894
397,420,3111.588489945432,704.9619658563506,4.4138388177660595
397,493,2042.5697163877956,697.0688051775638,2.9302268315786892
206,354,2116.6257374245906,656.4989110181951,3.2241115741407946
206,281,1011.1132665913653,633.5866487845556,1.59585633398532
206,236,42214.89057365905,1250.0,33.77191245892724
206,211,2260.026262721508,804.562482421375,2.8090127393460294
206,310,1667.3261307381958,720.5596806363764,2.313932038586539
206,715,530.0768427011211,709.1213198396623,0.7475122068265773
206,677,2886.8942226099784,611.3439104242808,4.72220982884484
703,636,33229.67514665014,625.0,53.16748023464022
703,563,37929.274372858585,625.0,60.686838996573734
703,626,864.5981429085621,713.8416744912054,1.2111903434677014
703,639,3723.493722858297,653.4838807700129,5.697912117542718
703,695,378.0423903496822,800.7126647594752,0.4721323977849679
703,627,1417.9548436501716,692.764214749455,2.046807288051085
658,592,1448.7043243952874,165.0150474983285,8.779225569776974
658,633,1617.4117215047315,148.5166702006302,10.89043889362575
658,661,1617.4117215047313,148.5166702006301,10.890438893625756
658,604,1448.7043243952903,165.0150474983283,8.779225569777003
658,704,49.00032634299172,219.5299473335574,0.2232056579895217
658,674,49.00032634299252,219.5299473335574,0.22320565798952532
661,725,5624.467142433922,219.5299473335574,25.620500577481643
661,604,4246.308913466757,219.5299473335574,19.342731891676017
661,704,1448.7043243952921,165.0150474983283,8.779225569777013
604,674,1617.4117215047336,148.5166702006301,10.89043889362577
604,646,3552.208238519913,219.5299473335575,16.180973400966693
633,629,1448.7043243952874,165.01504749832858,8.779225569776969
633,574,1617.4117215047315,148.5166702006301,10.890438893625758
633,592,49.00032634299465,219.5299473335574,0.223205657989535
633,674,1448.7043243952874,165.0150474983285,8.779225569776974
633,605,49.00032634299465,219.5299473335574,0.223205657989535
140,16,25758.928134926795,625.0,41.21428501588287
140,184,28093.686574256397,625.0,44.94989851881024
140,58,3807.293291312954,536.9031455554757,7.091210626776937
140,163,82.84382747824296,627.3105970464737,0.13206189703839094
140,104,303.1688448180933,658.8721527433618,0.4601330372755654
140,99,2610.047899873549,592.5907724365122,4.404469359423207
284,547,513.6317612249144,175.33385218271818,2.9294500453320937
284,577,568.7997067383883,173.62259218996982,3.276069661003759
284,153,1718.45306427195,103.39656748951148,16.620020431976812
284,208,1447.2137742038726,103.39656748951148,13.996729382246443
284,189,1068.9507796610396,160.50619093465247,6.659872578349615
82,165,1301.128442505103,203.2681876131824,6.401043162647464
82,93,431.6512188618643,270.9890513878517,1.5928732790169655
82,57,798.520021340038,203.26818761318248,3.9284062632546046
82,70,775.0462987387225,228.5303263188091,3.3914374132451086
82,39,1908.866117912211,144.2888878667126,13.229474189831812
82,61,1781.3094900498888,144.28888786671263,12.345437797645095
57,39,1091.0676597631261,177.12183378549702,6.159983986415029
57,70,1116.111269237891,155.6427617926025,7.170980882009371
57,120,1303.4903628821926,144.28888786671266,9.033892922414761
57,42,1375.2214479109534,103.94150058336366,13.230725361791285
293,236,42583.53232829828,625.0,68.13365172527725
293,218,4163.731968211145,643.3790646287662,6.471662192821964
293,249,758.0691991257204,715.4337864012307,1.05959379265404
293,207,1462.8929828772175,665.5385120173212,2.1980591002059766
155,76,1055.7768647858231,138.42109944185492,7.627282755612789
155,531,2747.978512226169,189.1661569754894,14.526797795983294
155,17,3012.1591518255136,286.54356463133286,10.512046067762714
155,174,980.2963199487394,154.46889337903687,6.3462377343720675
155,127,912.7121142445084,224.65112401034477,4.062797897251917
15,89,12402.115927530724,625.0,19.843385484049158
15,88,17982.576102491785,625.0,28.772121763986856
15,170,2333.2809193710514,696.1792612775918,3.3515518906569213
15,175,228.292387321429,777.4338528478169,0.29364863195135055
15,73,2156.9314117385447,707.0208587317566,3.0507323583177106
89,17,2506.104203430554,631.3631955209565,3.9693542816709377
89,175,1992.0508314666913,648.0689864590427,3.0738252764585687
89,36,2056.238767588962,612.7097988471909,3.3559750006573434
549,410,2490.095756401073,253.76850280468275,9.812469746561169
549,502,4583.594643072685,133.28526334896767,34.389358042320936
549,527,1880.7691578896959,161.93208462567844,11.614555338043566
549,433,603.4524224109597,156.63170346012686,3.8526837739754156
