,x,y,b,h,K,Ss,Q,q,fixed,track,quad,vor_region,sum_conduct,plan_area,vol
0,-1748.5463467499999,1405.4737255,10.0,14.999987854630044,1.0,5.000000000000001e-05,0.0,0.0,0.0,0,0.0,82,65.27102862452527,26832.550068452678,268325.50068452675
1,-242.0471937,804.4488950499999,10.0,14.982493044795843,0.9999999999999999,4.9999999999999996e-05,0.0,0.0,0.0,0,0.0,364,38.98894176684104,24523.52400498639,245235.2400498639
2,-721.2942975999999,1446.9865730000001,10.0,14.99944401990602,1.0,4.9999999999999996e-05,0.0,0.0,0.0,0,0.0,181,36.02994027884353,28747.954603949387,287479.5460394939
3,-1136.3764339,1561.4473874999999,10.0,14.99989518494848,1.0,5e-05,0.0,0.0,0.0,0,0.0,59,37.57468443461675,36426.26049116445,364262.60491164454
4,-1681.913661,417.75227627,10.0,14.999674447963626,1.0,4.9999999999999996e-05,0.0,0.0,0.0,0,0.0,384,38.36158457619649,26873.68347406066,268736.8347406066
5,-289.72215074499996,539.33604005,10.0,14.961482721891883,1.0,5e-05,0.0,0.0,0.0,0,0.0,211,37.103933414430884,18837.180400652345,188371.80400652345
6,-597.7893851,1864.5570575000002,10.0,14.9999199984337,1.0,4.9999999999999996e-05,0.0,0.0,0.0,0,0.0,178,52.30426459253572,40359.15282535004,403591.52825350035
7,-1144.7388445000001,807.7530687999999,10.0,14.998427085547915,1.0,4.9999999999999996e-05,0.0,0.0,0.0,0,0.0,381,39.01326970393762,13514.262004132936,135142.62004132936
8,-590.694823,1395.005227,10.0,14.999061035178775,1.0,4.9999999999999996e-05,0.0,0.0,0.0,0,0.0,179,37.80906405246038,28512.039727940428,285120.3972794043
9,-620.2113595999999,18.50538859,10.0,14.959559111389307,1.0,5.000000000000001e-05,0.0,0.0,0.0,0,0.0,157,42.45665259962326,18401.344571196547,184013.44571196547
10,-1482.9553945,1135.04548,10.0,14.999854180529606,1.0,5e-05,0.0,0.0,0.0,0,0.0,466,40.17327555912819,18028.443527831136,180284.43527831137
11,-1128.3907614,1175.980439,10.0,14.999490775263247,1.0,5e-05,0.0,0.0,0.0,0,0.0,552,37.923572130061075,23664.471737352782,236644.71737352782
12,-317.181079625,1151.0457044999998,10.000000000000002,14.9958246601395,1.0,5e-05,0.0,0.0,0.0,0,0.0,174,38.71118459572681,27499.39189819667,274993.91898196674
13,-1836.1140679999999,408.64878777499996,10.0,14.999875769255084,1.0,5.000000000000001e-05,0.0,0.0,0.0,0,0.0,248,47.020792720899905,21586.938446806424,215869.38446806424
14,-832.9550302499999,6.654676309999999,10.0,14.981192965806887,1.0,4.9999999999999996e-05,0.0,0.0,0.0,0,0.0,79,39.41612392568604,18461.870519307333,184618.7051930733
15,-2500.0,1250.0,10.0,15.0,1.0,5e-05,0.0,0.0,2.0,0,0.0,25,57.691337864117536,1.0000000000000018e+20,1.0000000000000018e+21
16,-1250.0,2500.0,10.0,15.0,1.0,5e-05,0.0,0.0,2.0,0,0.0,348,92.79482556990344,1.0000000000000074e+20,1.0000000000000073e+21
17,-1928.636139,356.36861128749996,10.0,14.999937083126424,1.0,5.000000000000001e-05,0.0,0.0,0.0,0,0.0,249,53.73018699902711,100332.48445690336,1003324.8445690336
18,-182.20906824499997,618.711827225,10.0,14.964524137764984,1.0,5e-05,0.0,0.0,0.0,0,0.0,209,37.00388599720232,19354.018427129486,193540.18427129486
19,-236.3865022,1859.84176925,10.0,14.99985528952469,1.0,5e-05,0.0,0.0,0.0,0,0.0,73,42.715408850158475,20772.825942826657,207728.25942826658
20,-1705.7049229999998,-2.2633620699999994,10.0,14.999615687452923,0.9999999999999999,4.9999999999999996e-05,0.0,0.0,0.0,0,0.0,570,36.52683000853283,11527.50349918408,115275.0349918408
21,-1620.873841,1367.9486402500002,9.999999999999998,14.999968023345605,1.0,5e-05,0.0,0.0,0.0,0,0.0,459,39.048013716707736,15656.559141631384,156565.5914163138
22,-285.79952891999994,383.74271648999996,10.0,14.93956620472069,1.0,4.9999999999999996e-05,0.0,0.0,0.0,0,0.0,393,37.04653628487582,24192.528828834304,241925.28828834303
23,-1794.950303,692.2202230124999,10.0,14.999901164668572,1.0,5e-05,0.0,0.0,0.0,0,0.0,591,40.022148966385664,14569.375382865954,145693.75382865954
24,-1039.8537769,1098.975108,10.0,14.999087231833444,1.0,5.000000000000001e-05,0.0,0.0,0.0,0,0.0,647,38.74860543796713,15514.324148592743,155143.24148592743
25,-1288.758128,472.66118421,10.0,14.998145885953862,1.0,5e-05,0.0,0.0,0.0,0,0.0,189,40.814827460345285,20689.11152802429,206891.11528024287
26,-812.09534515,1636.5481302500002,10.0,14.999808583001657,1.0,4.9999999999999996e-05,0.0,0.0,0.0,0,0.0,148,36.04831375848754,38119.46717738027,381194.6717738027
27,-1649.022646,-87.80155120500001,10.0,14.99947491399185,1.0,5e-05,0.0,0.0,0.0,0,0.0,726,34.64991170770118,9076.455849504408,90764.55849504407
28,-750.3428888999999,1845.3333725000002,10.0,14.999931796688688,1.0,4.9999999999999996e-05,0.0,0.0,0.0,0,0.0,149,48.138960836191735,36230.599168323766,362305.99168323766
29,-198.5038809125,1608.89279675,10.000000000000002,14.999394771380635,1.0,5e-05,0.0,0.0,0.0,0,0.0,377,36.45056948552485,21237.410994280883,212374.10994280886
30,-1547.4427215,381.59722504499996,9.999999999999998,14.999343047755103,0.9999999999999999,5e-05,0.0,0.0,0.0,0,0.0,208,39.394804756930256,22827.18574960959,228271.85749609588
31,-453.9379513125,1273.02546575,10.0,14.997916611412936,1.0,4.9999999999999996e-05,0.0,0.0,0.0,0,0.0,182,36.86383280536086,29983.36599936732,299833.6599936732
32,-1019.6364133,1693.7785374999999,10.0,14.999918190461967,1.0,5e-05,0.0,0.0,0.0,0,0.0,152,37.80036559056845,36777.615577505436,367776.15577505436
